"prod_number","client_name","fulfillment_center_name","po_number","0-7 days","16-23 days","24-31 days","32-45 days","46-60 days","61-90 days","8-15 days",">90 days"
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045479",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1047047",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049149",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1048998",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055184",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055605",1,0,0,0,0,0,0,0
"172704081","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1057270",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999348",0,1,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045510",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054606",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054865",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054629",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054792",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054882",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055447",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055592",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1057025",1,0,0,0,0,0,0,0
"172704081","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1057252",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1058487",1,0,0,0,0,0,0,0
