"order_number","sub_order","fulfillment_center_name","client_name","prod_num","qty"
"5699142283","6100105537","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699182211","6100148688","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699280524","6100254326","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699382804","6100364260","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699473236","6100460985","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699506970","6100496951","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699516546","6100507192","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699624989","6100622936","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699816357","6100829081","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699873095","6100890015","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699918344","6100938813","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700005169","6101032463","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700145977","6101184754","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700181369","6101222940","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700249425","6101296229","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700455099","6101517670","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696239006","6096945301","DELFC4","RSR INFORMATICS PVT-PAYTM","183924682",1
