"client_name","FC Name","AGN Number","PO Number","Product Number","Expected Quantity","Received","QC Accepted","TBQ","REJ","Shortage"
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182746486","PO-20180731-1055639","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182702639","PO-20180731-1055657","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182750594","PO-20180731-1055665","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","RSR-NORTH-07-056","PO-20180731-1055690","172703971",50,50,50,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","RSR-NORTH-07-056","PO-20180731-1055690","172704081",60,60,60,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","RSR-NORTH-07-056","PO-20180731-1055690","172817882",200,138,138,0,0,62
"RSR INFORMATICS PVT-PAYTM","DELFC4","RSR-NORTH-07-056","PO-20180731-1055690","200036108",50,17,17,0,0,33
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738765","PO-20180731-1056105","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453872","PO-20180731-1056117","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182751411","PO-20180731-1056127","172818198",1,1,0,1,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182747438","PO-20180731-1056172","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454261","PO-20180731-1056204","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453866","PO-20180731-1056215","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718454239","PO-20180731-1056225","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182751430","PO-20180731-1056247","172818198",1,1,0,1,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182738749","PO-20180731-1056284","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1369718453469","PO-20180731-1056297","172703969",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182737550","PO-20180731-1056306","172809171",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","69040511643","PO-20180731-1056892","172703971",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","69040609444","PO-20180731-1056896","175193738",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","69040556406","PO-20180731-1056898","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182766834","PO-20180731-1056906","173328189",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182584534","PO-20180731-1056909","173328189",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182794699","PO-20180731-1056956","172723880",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772275","PO-20180731-1056969","174500733",1,1,1,0,0,0
